feature,mean_abs_shap,mean_shap
ff_vaa,0.015726400460699418,0.0007300111666924062
ff_velo,0.011454277902615665,-0.00027487700129297986
PA,0.009533940256162058,-3.600280228847435e-05
k_rate_P20,0.009140547036163236,0.0003655692868123548
ff_spinrate,0.007834060960207162,-0.00025268568708457716
ff_power_angle,0.007264879026382724,-0.00020419017353514788
ff_ivb,0.006354131587741067,-0.00021771369152589194
BIP_P5,0.005993565982600305,0.0006601347436418923
ch_velo,0.0059063493473924455,3.3207395406695615e-05
xwOBA_clipped_P5,0.005258357129165781,0.00047531225937860055
sl_vaa,0.00519107589971686,-0.0010560976846222326
xwOBA_clipped_P10,0.005160609201106455,-0.00012475434663659077
ch_effectiveness,0.005035082378259265,6.626999470901932e-05
ff_usage_vR,0.004913723426444806,0.00014286192286761402
ch_vaa,0.004580883786933415,-0.0004374644693003413
ff_ch_ivb_diff,0.004539973697764168,-7.218408939275505e-05
ch_platoon_split,0.00453750527752378,-0.0006805386054607711
ff_hb,0.004312751705360575,-2.5049110115991856e-05
ff_ch_vaa_diff,0.004076946099877089,1.373845877721585e-05
ch_usage_vR,0.003969025150937522,-0.0002868142372030585
xBA_clipped_P10,0.003941246247517455,-0.000560140852867812
ch_ivb,0.0038159632724998407,0.00042257017091492613
xwOBA_clipped_P20,0.0038020590629904974,8.846814828715317e-05
sl_platoon_split,0.0037196538193950426,0.00013712449559725342
sl_spinrate,0.0036771307994338137,0.0001707367787955654
ch_hb,0.0036419573840156547,-0.00011062897884719377
ff_ch_velo_diff,0.0035796070784566434,-0.00010772874136818049
Strikes_P10,0.003576912393387212,-0.0007239743766173535
cu_vaa,0.003558692602529622,-0.00035473952485212576
xBA_clipped_P5,0.003373721918488416,1.0746257910986857e-05
si_velo,0.003299032823663937,7.288497731117941e-05
sl_velo,0.0032749805439958187,-5.8972522914887075e-05
ff_usage_vL,0.0031255732286503447,0.00014616635631562724
si_ivb,0.003064105594111047,-0.00018433705216479152
ch_spinrate,0.0029821621368432537,0.00016330965067679507
fc_velo,0.0029273532117962656,0.00021627447388280664
xBA_clipped_P20,0.0028474350404382827,0.00026685712802172095
si_vaa,0.0027699007611122653,7.269322016325601e-05
Balls_P20,0.002661789973807946,-0.00020209556101532364
ch_usage_vL,0.0026202597680350056,0.00011235896471453216
k_rate_P10,0.002618804210602802,0.00018475921592444355
CSW_P20,0.0025629935481626676,-6.424061789786834e-05
ff_si_velo_diff,0.002486235640767019,-0.0001856229874180344
Strikes_P5,0.002413211464310751,-0.0004901657958813927
sl_usage_vR,0.002408544423052055,-0.0003889445200784536
st_ivb,0.002371578331582634,3.0523487612350595e-05
Strikes_P20,0.002290104925848305,0.0005040950299875843
k_rate_P5,0.0022770325421934304,-5.261289460238575e-05
si_hb,0.0022598301716721726,0.0003071236591485554
Whiffs_P20,0.002254503678144988,-0.00014826835332311394
cu_spinrate,0.002221202499647327,1.0277413320457858e-05
si_spinrate,0.0021386901129966094,-5.702385132325894e-05
ff_sl_velo_diff,0.002124449124980108,-0.0003248589365743562
sl_usage_vL,0.002122356315059216,0.00014652424022794426
BB_P20,0.002087687888337725,-0.00047305605915255494
sl_ivb,0.0018823639101082474,-0.00014184659286700657
Balls_P10,0.0018812148911088625,1.830716201881869e-05
sl_hb,0.0018793960319269578,-0.000341201622609742
CS_P5,0.0018773780093432504,-0.0003727468536546523
ff_sl_ivb_diff,0.0018756654168436766,1.601854232175325e-05
st_velo,0.0018676844906693473,0.00013707920203374056
cu_hb,0.0017005986813429731,5.680354333726059e-05
cu_ivb,0.0016942017660215966,-4.803836964808017e-05
cu_velo,0.0016585370317172678,-0.00013223541207067906
Balls_P5,0.001586570109408171,-0.00035078455716391373
GB_P5,0.0015810012076312356,-0.0002757538224911578
GB_P10,0.001542621952033997,0.00013825649248288736
CS_P10,0.0015377850322191365,0.00013988848745512806
fc_spinrate,0.001534465975471308,-3.4411773827171306e-05
fc_vaa,0.0015331466176912794,-0.00019396834904115236
CS_P20,0.0014060732455412441,0.00023191396925734999
CSW_P10,0.0014034839903963058,0.00010801967792310429
st_spinrate,0.0013837531356399597,-0.00017626978812023544
Whiffs_P10,0.0013784500302644115,2.105208067899322e-06
BIP_P20,0.0013526015723719165,-8.68405818557196e-05
st_hb,0.0012763757469791892,-9.22187457890182e-05
BB_P10,0.0012656303933665598,-0.00010734258398408161
GB_P20,0.0012597187968863962,0.00019770659741669074
st_vaa,0.0012105756808243045,0.00011717841031464256
fc_ivb,0.001124358982050413,-0.00011734711646134289
fc_hb,0.0011213835716774251,-0.00020176002390851115
BB_P20_shrunk,0.000917773388986016,-0.00023709781482902153
BIP_P10,0.0008291641661455715,-0.00022655376584246664
BB_P5,0.0008286718359208931,-9.4477534285245e-05
CSW_P20_shrunk,0.000787658132085567,-4.244449890612821e-05
CSW_P5,0.0006481743304743591,7.741436345568179e-06
Whiffs_P5,0.000392107402645548,-2.5077951733157257e-05
